Dept_Name,Expense_Class,Object_Expenditure,Approp_Type,2024_Actual,2025_Program,2026_GAA,Page_No
Department of National Defense (DND),Other Compensation for Specific Groups,Combat Incentive Pay,None,10000,10000,10000,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hazard Duty Pay,None,1060108,1062674,1075965,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hardship Allowance,None,42551,325154,332835,57
Department of National Defense (DND),Other Compensation for Specific Groups,Combat Duty Pay,None,4306655,3766500,3786516,57
Department of National Defense (DND),Other Compensation for Specific Groups,Incentive Pay,None,54137,57593,57593,57
Department of National Defense (DND),Other Compensation for Specific Groups,Instructor's Duty Pay,None,503395,540523,540523,57
Department of National Defense (DND),Other Compensation for Specific Groups,Reservist's Pay,None,617080,618450,618450,57
Department of National Defense (DND),Other Compensation for Specific Groups,Medal of Valor Award,None,41025,49500,49500,57
Department of National Defense (DND),Other Compensation for Specific Groups,Hospitalization Expenses,None,63496,0,0,57
Department of National Defense (DND),Other Compensation for Specific Groups,Specialist's Pay,None,2603,2908,2908,57
Department of National Defense (DND),Other Compensation for Specific Groups,Parachutist Pay,None,336556,681769,681769,57
Department of National Defense (DND),Other Compensation for Specific Groups,/Uniformed Personnel (MUP),None,0,3584950,3501580,57
Department of National Defense (DND),Other Compensation for Specific Groups,Anniversary Bonus Military/Uniformed Personnel,None,801,4323,768,57
Department of National Defense (DND),Other Benefits,Special Group Term Insurance,None,11864,11770,12816,57
Department of National Defense (DND),Other Benefits,PAG-IBIG Contributions,None,367131,254600,261636,57
Department of National Defense (DND),Other Benefits,Pension Military/Uniformed Personnel,None,56651365,0,0,57
Department of National Defense (DND),Other Benefits,Pension Veterans,None,10390876,0,0,57
Department of National Defense (DND),Other Benefits,PhilHealth Contributions,None,1625440,1533856,1545827,57
Department of National Defense (DND),Other Benefits,Employees Compensation Insurance Premiums,None,174452,196188,199252,57
Department of National Defense (DND),Other Benefits,Retirement Gratuity,None,4552016,2118714,1321528,57
Department of National Defense (DND),Other Benefits,Terminal Leave,None,10021498,1472970,2473382,57
Department of National Defense (DND),Maintenance and Other Operating Services,Travelling Expenses,None,1561792,1773590,2296729,58
Department of National Defense (DND),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,1528217,1963160,2173516,58
Department of National Defense (DND),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,26370754,33673877,41732542,58
Department of National Defense (DND),Maintenance and Other Operating Services,Utility Expenses,None,3184410,3586228,4059687,58
Department of National Defense (DND),Maintenance and Other Operating Services,Communication Expenses,None,687083,781457,958376,58
Department of National Defense (DND),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,13219,14259,15795,58
Department of National Defense (DND),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,19573,21613,12061,58
Department of National Defense (DND),Maintenance and Other Operating Services,Demolition/Relocation and Desilting/Dredging Expenses,None,4357,0,0,58
Department of National Defense (DND),Maintenance and Other Operating Services,Professional Services,None,573546,544140,2246221,58
Department of National Defense (DND),Maintenance and Other Operating Services,General Services,None,628872,814975,1007432,58
Department of National Defense (DND),Maintenance and Other Operating Services,Repairs and Maintenance,None,19705835,24920345,26933501,58
Department of National Defense (DND),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,4037457,3656249,4556531,58
Department of National Defense (DND),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,11282925,261365,295278,58
Department of National Defense (DND),Maintenance and Other Operating Services,Labor and Wages,None,169732,104148,104399,58
Department of National Defense (DND),Maintenance and Other Operating Services,Bank Charges,None,8,0,0,58
Department of National Defense (DND),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,7792,6774,6774,58
Department of National Defense (DND),Maintenance and Other Operating Services,Intelligence Expenses,None,2902898,1761398,1777293,58
Department of National Defense (DND),Maintenance and Other Operating Services,Confidential Expenses,None,87000,87000,87000,58
Department of National Defense (DND),Maintenance and Other Operating Services,Advertising Expenses,None,5551,8744,21833,58
Department of National Defense (DND),Maintenance and Other Operating Services,Printing and Publication Expenses,None,47207,65456,93699,58
Department of National Defense (DND),Maintenance and Other Operating Services,Representation Expenses,None,2281642,2202468,3020275,58
Department of National Defense (DND),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,33636,86430,90649,58
Department of National Defense (DND),Maintenance and Other Operating Services,Rent/Lease Expenses,None,1260455,1220000,1738763,58
Department of National Defense (DND),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,1151,1095,1048,58
Department of National Defense (DND),Maintenance and Other Operating Services,Subscription Expenses,None,622907,967120,1348977,58
Department of National Defense (DND),Maintenance and Other Operating Services,Donations,None,72911,101676,101678,58
Department of National Defense (DND),Maintenance and Other Operating Services,Bank Transaction Fee,None,35,42,23,58
Department of National Defense (DND),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,279462,769290,792439,58
Department of National Defense (DND),Capital Outlays,Land Outlay,None,1021,270000,1478481,59
Department of National Defense (DND),Capital Outlays,Land Improvements Outlay,None,344200,75677,169108,59
Department of National Defense (DND),Capital Outlays,Infrastructure Outlay,None,264786,930386,1695536,59
Department of National Defense (DND),Capital Outlays,Buildings and Other Structures,None,5079130,6625392,8144623,59
Department of National Defense (DND),Capital Outlays,Machinery and Equipment Outlay,None,45577223,18722132,28704357,59
Department of National Defense (DND),Capital Outlays,Transportation Equipment Outlay,None,2457842,5967570,6523404,59
Department of National Defense (DND),Capital Outlays,Furniture Fixtures and Books Outlay,None,20790,7529,36498,59
Department of National Defense (DND),Capital Outlays,Heritage Assets,None,0,0,1818,59
Department of National Defense (DND),Capital Outlays,Other Property Plant and Equipment Outlay,None,42365,10850,24000,59
Department of National Defense (DND),Capital Outlays,Intangible Assets Outlay,None,10729,0,0,59
Department of Public Works and Highways (DPWH),Salaries and other Lump-sums,Basic Salary,None,9382901,8866948,10551176,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Personnel Economic Relief Allowance,None,485992,482328,500976,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Representation Allowance,None,40361,42132,43512,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Transportation Allowance,None,10586,39696,41262,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Clothing and Uniform Allowance,None,138261,140679,146118,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Year End Bonus,None,786228,738906,879262,59
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Mid-Year Bonus Civilian,None,757669,738906,879262,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Cash Gift,None,102237,100485,104370,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Productivity Enhancement Incentive,None,101070,100485,104370,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Step Increment,None,0,22169,26378,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Performance Based Bonus,None,974,0,0,60
Department of Public Works and Highways (DPWH),Other Compensation Common to All,Collective Negotiation Agreement,None,598182,0,0,60
Department of Public Works and Highways (DPWH),Other Compensation for Specific Groups,Other Personnel Benefits,None,490617,0,0,60
Department of Public Works and Highways (DPWH),Other Benefits,Retirement and Life Insurance Premiums,None,1121692,1064034,1266139,60
Department of Public Works and Highways (DPWH),Other Benefits,PAG-IBIG Contributions,None,44182,48239,50098,60
Department of Public Works and Highways (DPWH),Other Benefits,PhilHealth Contributions,None,233691,219775,260067,60
Department of Public Works and Highways (DPWH),Other Benefits,Employees Compensation Insurance Premiums,None,24433,24124,25050,60
Department of Public Works and Highways (DPWH),Other Benefits,Terminal Leave,None,556048,458845,579387,60
Department of Public Works and Highways (DPWH),Other Benefits,Loyalty Award Civilian,None,9325,18665,13177,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Travelling Expenses,None,90258,169933,207712,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,36766,106858,132675,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,112522,349448,384649,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Utility Expenses,None,81688,330274,362070,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Communication Expenses,None,28384,199424,152192,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Professional Services,None,43941,22593,40033,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,General Services,None,166807,193366,235051,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Repairs and Maintenance,None,14973262,5020105,15947742,60
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,366370,144031,157572,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,5112,8638,9326,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Advertising Expenses,None,521,3810,4467,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Printing and Publication Expenses,None,1650,12340,14105,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Representation Expenses,None,246,3554,3883,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,562,22808,23806,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Rent/Lease Expenses,None,76086,42788,110911,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,24,2173,2327,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Subscription Expenses,None,119664,189351,518417,61
Department of Public Works and Highways (DPWH),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,18154,107893,101739,61
Department of Public Works and Highways (DPWH),Capital Outlays,Infrastructure Outlay,None,1127628910,964309813,396824315,61
Department of Public Works and Highways (DPWH),Capital Outlays,Buildings and Other Structures,None,80788509,103923748,98702980,61
Department of Public Works and Highways (DPWH),Capital Outlays,Machinery and Equipment Outlay,None,272366,455479,1400431,61
Department of Science and Technology (DOST),Salaries and other Lump-sums,Basic Salary,None,2929590,2627255,3170391,61
Department of Science and Technology (DOST),Other Compensation Common to All,Personnel Economic Relief Allowance,None,121587,121248,127680,62
Department of Science and Technology (DOST),Other Compensation Common to All,Representation Allowance,None,24828,26700,27024,62
Department of Science and Technology (DOST),Other Compensation Common to All,Transportation Allowance,None,17737,26052,26376,62
Department of Science and Technology (DOST),Other Compensation Common to All,Clothing and Uniform Allowance,None,34218,35455,37331,62
Department of Science and Technology (DOST),Other Compensation Common to All,Honoraria,None,7638,7406,7489,62
Department of Science and Technology (DOST),Other Compensation Common to All,Overtime Pay,None,7295,0,0,62
Department of Science and Technology (DOST),Other Compensation Common to All,Year End Bonus,None,212109,218940,264206,62
Department of Science and Technology (DOST),Other Compensation Common to All,Mid-Year Bonus Civilian,None,222269,218940,264206,62
Department of Science and Technology (DOST),Other Compensation Common to All,Cash Gift,None,24577,25325,26665,62
Department of Science and Technology (DOST),Other Compensation Common to All,Productivity Enhancement Incentive,None,24968,25325,26665,62
Department of Science and Technology (DOST),Other Compensation Common to All,Per Diems,None,736,902,704,62
Department of Science and Technology (DOST),Other Compensation Common to All,Step Increment,None,0,6567,7927,62
Department of Science and Technology (DOST),Other Compensation Common to All,Performance Based Bonus,None,114014,0,0,62
Department of Science and Technology (DOST),Other Compensation Common to All,Collective Negotiation Agreement,None,112203,0,0,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Magna Carta for Science & Technology Personnel,None,866789,1043190,1232885,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Hazard Pay,None,449,0,0,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Night Shift Differential Pay,None,10591,22196,30937,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Lump-sum for filling of Positions Civilian,None,0,67924,99734,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Other Personnel Benefits,None,132377,0,0,62
Department of Science and Technology (DOST),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,1188,237,57,62
Department of Science and Technology (DOST),Other Benefits,Retirement and Life Insurance Premiums,None,338523,315271,380449,62
Department of Science and Technology (DOST),Other Benefits,PAG-IBIG Contributions,None,11561,12157,12807,62
Department of Science and Technology (DOST),Other Benefits,PhilHealth Contributions,None,65469,64617,77422,62
Department of Science and Technology (DOST),Other Benefits,Employees Compensation Insurance Premiums,None,6142,6055,6402,62
Department of Science and Technology (DOST),Other Benefits,Terminal Leave,None,107856,59152,76018,62
Department of Science and Technology (DOST),Other Benefits,Loyalty Award Civilian,None,3911,4615,4175,62
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Travelling Expenses,None,235389,236950,299853,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,7641824,7866700,8133626,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,509276,677358,804344,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Utility Expenses,None,326023,347286,455408,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Communication Expenses,None,251589,281318,332152,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,59599,68489,74106,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,122171,42786,74376,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Professional Services,None,784635,887829,833000,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,General Services,None,472485,396139,442206,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Repairs and Maintenance,None,339104,454949,1010018,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,8548276,8803475,8919353,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,140405,133211,150513,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Labor and Wages,None,20181,9795,21654,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,8298,8684,8800,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Advertising Expenses,None,7004,30782,35493,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Printing and Publication Expenses,None,20032,26988,30565,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Representation Expenses,None,78952,72759,120790,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,11976,8264,18235,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Rent/Lease Expenses,None,151991,160412,200323,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,3784,2691,3157,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Subscription Expenses,None,67898,82239,222999,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Litigation/Acquired Assets Expenses,None,1696,2000,2100,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Bank Transaction Fee,None,8,16,16,63
Department of Science and Technology (DOST),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,116370,192436,59295,63
Department of Science and Technology (DOST),Capital Outlays,Land Improvements Outlay,None,4336,0,22000,64
Department of Science and Technology (DOST),Capital Outlays,Infrastructure Outlay,None,19509,1210,146374,64
Department of Science and Technology (DOST),Capital Outlays,Buildings and Other Structures,None,739154,1548706,1488154,64
Department of Science and Technology (DOST),Capital Outlays,Machinery and Equipment Outlay,None,1324062,1584011,2011301,64
Department of Science and Technology (DOST),Capital Outlays,Transportation Equipment Outlay,None,77852,76961,240940,64
Department of Science and Technology (DOST),Capital Outlays,Furniture Fixtures and Books Outlay,None,20822,8729,2250,64
Department of Science and Technology (DOST),Capital Outlays,Loans Outlay,None,10000,10000,10000,64
Department of Science and Technology (DOST),Capital Outlays,Intangible Assets Outlay,None,50,0,2200,64
Department of Social Welfare and Development (DSWD),Salaries and other Lump-sums,Basic Salary,None,2731327,1640795,2137817,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Personnel Economic Relief Allowance,None,123064,86376,96096,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Representation Allowance,None,34499,19068,23610,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Transportation Allowance,None,25469,18576,22770,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Clothing and Uniform Allowance,None,33938,25193,28028,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Honoraria,None,5,414,414,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Overtime Pay,None,36247,0,0,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Year End Bonus,None,202612,136735,178153,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Mid-Year Bonus Civilian,None,186293,136735,178153,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Cash Gift,None,25806,17995,20020,64
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Productivity Enhancement Incentive,None,30768,17995,20020,65
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Per Diems,None,16009,17902,17902,65
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Step Increment,None,0,4101,5344,65
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Performance Based Bonus,None,246792,0,0,65
Department of Social Welfare and Development (DSWD),Other Compensation Common to All,Collective Negotiation Agreement,None,605573,0,0,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,RATA of Sectoral/Alternate Sectoral Representatives,None,1177,1100,1100,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Magna Carta for Public Health Workers,None,13847,1506,1348,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Magna Carta for Public Social Workers,None,121425,107368,136750,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Quarters Allowance,None,17,0,0,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Overseas Allowance,None,0,0,3777,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Hazard Pay,None,8079,0,0,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Lump-sum for Personnel Services,None,0,11192,0,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Other Personnel Benefits,None,445633,0,0,65
Department of Social Welfare and Development (DSWD),Other Compensation for Specific Groups,Anniversary Bonus Civilian,None,120,0,9459,65
Department of Social Welfare and Development (DSWD),Other Benefits,Retirement and Life Insurance Premiums,None,285741,196895,256537,65
Department of Social Welfare and Development (DSWD),Other Benefits,PAG-IBIG Contributions,None,11314,8635,9610,65
Department of Social Welfare and Development (DSWD),Other Benefits,PhilHealth Contributions,None,55600,39391,50464,65
Department of Social Welfare and Development (DSWD),Other Benefits,Employees Compensation Insurance Premiums,None,6284,4317,4805,65
Department of Social Welfare and Development (DSWD),Other Benefits,Loyalty Award Civilian,None,8717,1795,3045,65
Department of Social Welfare and Development (DSWD),Other Benefits,Terminal Leave,None,79628,22433,36500,65
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Travelling Expenses,None,1897902,1693252,1933283,65
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,1655595,915773,1261696,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,8360938,1695731,1948285,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Utility Expenses,None,327512,306760,327501,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Communication Expenses,None,435450,635693,619500,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,16147,18103,16973,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Survey Research Exploration and Development Expenses,None,1335,0,0,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Professional Services,None,8120098,8120780,8815660,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,General Services,None,600468,509141,515516,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Repairs and Maintenance,None,341872,164617,262643,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,241664122,189241926,233866238,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,172134,104247,93289,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Labor and Wages,None,93494,19809,4864,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,15342,11025,14510,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Confidential Expenses,None,18000,18000,18000,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Advertising Expenses,None,42688,32698,53612,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Printing and Publication Expenses,None,98375,203890,33140,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Representation Expenses,None,323873,378413,315803,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,595190,163830,27671,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Rent/Lease Expenses,None,505562,449919,480147,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,0,20,20,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Subscription Expenses,None,385801,493456,184142,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Donations,None,8504,1700,575,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Bank Transaction Fee,None,13275,88023,163448,66
Department of Social Welfare and Development (DSWD),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,215849,267440,131860,66
Department of Social Welfare and Development (DSWD),Capital Outlays,Land Improvements Outlay,None,281,0,0,66
Department of Social Welfare and Development (DSWD),Capital Outlays,Infrastructure Outlay,None,0,1000,0,66
Department of Social Welfare and Development (DSWD),Capital Outlays,Buildings and Other Structures,None,308880,100000,1895300,66
Department of Tourism (DOT),Salaries and other Lump-sums,Basic Salary,None,447779,421464,520875,67
Department of Tourism (DOT),Other Compensation Common to All,Personnel Economic Relief Allowance,None,16516,17328,18000,67
Department of Tourism (DOT),Other Compensation Common to All,Representation Allowance,None,10489,10014,11220,67
Department of Tourism (DOT),Other Compensation Common to All,Transportation Allowance,None,7272,9078,10284,67
Department of Tourism (DOT),Other Compensation Common to All,Clothing and Uniform Allowance,None,4978,5054,5250,67
Department of Tourism (DOT),Other Compensation Common to All,Overtime Pay,None,3533,0,0,67
Department of Tourism (DOT),Other Compensation Common to All,Year End Bonus,None,37325,35124,43408,67
Department of Tourism (DOT),Other Compensation Common to All,Mid-Year Bonus Civilian,None,33673,35124,43408,67
Department of Tourism (DOT),Other Compensation Common to All,Cash Gift,None,3599,3610,3750,67
Department of Tourism (DOT),Other Compensation Common to All,Productivity Enhancement Incentive,None,3793,3610,3750,67
Department of Tourism (DOT),Other Compensation Common to All,Per Diems,None,99,0,0,67
Department of Tourism (DOT),Other Compensation Common to All,Step Increment,None,0,1054,1300,67
Department of Tourism (DOT),Other Compensation Common to All,Performance Based Bonus,None,14438,0,0,67
Department of Tourism (DOT),Other Compensation Common to All,Collective Negotiation Agreement,None,22559,0,0,67
Department of Tourism (DOT),Other Benefits,Retirement and Life Insurance Premiums,None,50297,50576,62503,68
Department of Tourism (DOT),Other Benefits,PAG-IBIG Contributions,None,1915,1728,1801,68
Department of Tourism (DOT),Other Benefits,PhilHealth Contributions,None,9868,9723,11637,68
Department of Tourism (DOT),Other Benefits,Employees Compensation Insurance Premiums,None,864,867,899,68
Department of Tourism (DOT),Other Benefits,Loyalty Award Civilian,None,545,970,340,68
Department of Tourism (DOT),Other Benefits,Terminal Leave,None,20935,6606,8805,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Travelling Expenses,None,178443,202411,146417,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Training and Scholarship Expenses,None,100272,515313,404015,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Supplies and Materials Expenses,None,100520,84376,93946,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Utility Expenses,None,50002,52214,57469,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Communication Expenses,None,31743,35374,36435,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Awards/Rewards and Prizes,None,7311,1160,4427,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Professional Services,None,641432,468418,1350438,68
Department of Tourism (DOT),Maintenance and Other Operating Services,General Services,None,122123,171219,200186,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Repairs and Maintenance,None,30855,16306,20788,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Financial Assistance/Subsidy,None,19514,76060,5446,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Taxes Insurance Premiums and Other Fees,None,9766,6974,9147,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Labor and Wages,None,279,200,200,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Bank Charges,None,49,0,0,68
Department of Tourism (DOT),Maintenance and Other Operating Services,Extraordinary and Miscellaneous Expenses,None,6647,6430,7042,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Advertising Expenses,None,179179,332846,160527,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Printing and Publication Expenses,None,6505,22144,19045,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Representation Expenses,None,195285,187509,185368,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Transportation and Delivery Expenses,None,7871,4271,4845,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Rent/Lease Expenses,None,186959,238314,256463,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Membership Dues and Contributions to Organizations,None,3452,1213,3556,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Subscription Expenses,None,32682,99460,106128,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Donations,None,2258,2006,21,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Bank Transaction Fee,None,1,1149,1290,69
Department of Tourism (DOT),Maintenance and Other Operating Services,Other Maintenance and Operating Expenses,None,108495,262306,3268,69
Department of Tourism (DOT),Capital Outlays,Land Improvements Outlay,None,19469,28200,50000,69
Department of Tourism (DOT),Capital Outlays,Infrastructure Outlay,None,250000,0,0,69
Department of Tourism (DOT),Capital Outlays,Buildings and Other Structures,None,90831,92530,21247,69
Department of Tourism (DOT),Capital Outlays,Machinery and Equipment Outlay,None,97754,167416,145946,69
Department of Tourism (DOT),Capital Outlays,Transportation Equipment Outlay,None,14553,57324,22200,69
Department of Tourism (DOT),Capital Outlays,Furniture Fixtures and Books Outlay,None,858,0,9500,69
Department of Trade and Industry (DTI),Other Compensation Common to All,Personnel Economic Relief Allowance,None,80307,80184,82272,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Representation Allowance,None,42950,32790,36396,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Transportation Allowance,None,31417,32484,36090,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Clothing and Uniform Allowance,None,23408,23387,23996,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Honoraria,None,85,0,0,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Overtime Pay,None,7017,0,0,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Year End Bonus,None,166108,159114,190162,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Mid-Year Bonus Civilian,None,168766,159114,190162,70
Department of Trade and Industry (DTI),Other Compensation Common to All,Cash Gift,None,15679,16705,17140,70
